景点名称,景点地址,设施名称,设施类型,设施地址,距离（米）
天安门广场,东长安街,最高人民法院招待所,酒店,东交民巷胡同27号旁门,490
天安门广场,东长安街,庆丰包子铺(广场东侧路店),饭店,东交民巷44号(前门地铁站A东北口步行360米),282
天安门广场,东长安街,耀·Glory House,饭店,前门东大街23号院F楼,357
天安门广场,东长安街,温鼎府·海鲜火锅(前门23号院店),饭店,前门东大街前门23号院内(正阳门东10米),360
天安门广场,东长安街,ΡATΕKΡHILIPPΕ(源邸店),饭店,古城西路113号5层546,374
天安门广场,东长安街,J-tea魔杰的茶(北京前门店),饭店,前门东大街23号院F座1层(地铁2号线前门站400米),375
天安门广场,东长安街,人民大会堂宴会厅,饭店,西长安街天安门广场西侧(天安门西地铁站C西南口步行260米),399
天安门广场,东长安街,知竹馆,饭店,前门东大街23号H栋(前门地铁站A东北口步行420米),412
天安门广场,东长安街,蜜雪冰城(天安门店),饭店,前门西大街正阳市场1号楼1层106,445
天安门广场,东长安街,金满山老北京铜锅涮肉(金达商场店),饭店,前门大街甲2号1幢1层(前门地铁站E2北口旁),447
天安门广场,东长安街,面爱面(前门店),饭店,前门西大街正阳市场1号楼1层106,449
天安门广场,东长安街,肯德基(前门东大街店),饭店,前门东大街甲2号一层至地下一层(前门地铁站E2北口旁),455
天安门广场,东长安街,致美楼(前门店),饭店,前门西大街正阳市场2号楼(前门地铁站C西南口步行450米),477
天安门广场,东长安街,川湘菜馆(后河沿胡同店),饭店,前门西河沿街31后门(前门地铁站C西南口步行350米),482
天安门广场,东长安街,麦当劳(国帅宾馆店),饭店,前门西大街正阳市场2号楼一层西侧部分商铺,485
天安门广场,东长安街,宝华德老北京刷肉,饭店,前门西河沿街39号(前门地铁站C西南口步行370米),493
天安门广场,东长安街,麦梗手擀面水饺(麦梗前门店),饭店,前门西大街正阳市场二号楼,496
天安门广场,东长安街,金宅门烤鸭店(前门东大街店),饭店,前门东大街18号(前门地铁站E2北口步行230米),508
天安门广场,东长安街,西大街餐厅,饭店,前门西河沿街与煤市街交叉口西北120米,519
天安门广场,东长安街,前门大街夜市,饭店,前门大街2号(前门地铁站I西南口步行80米),522
天安门广场,东长安街,沙县小吃(前门西河沿街店),饭店,前门西河沿街与煤市街交叉口西60米,526
天安门,长安街北侧,汉庭酒店(北京天安门店),酒店,南池子大街102号(近天安门广场、故宫),580
天安门,长安街北侧,北京香江意舍(天安门王府井店),酒店,南河沿大街南湾子胡同1号,727
天安门,长安街北侧,人民大会堂宾馆,酒店,西交民巷甲19号,820
天安门,长安街北侧,北京贵宾楼饭店,酒店,东长安街35号,835
天安门,长安街北侧,北京天安门逸扉酒店,酒店,南河沿大街华龙街天安大厦A座,833
天安门,长安街北侧,紫金宫饭店,酒店,南河沿大街86号(王府井地铁站E3东北口步行450米),830
天安门,长安街北侧,北京南池子老墙客栈管理有限责任公司,酒店,南池子大街96号,633
天安门,长安街北侧,北京瑞安宾馆,酒店,正义路7号,943
天安门,长安街北侧,皇城小筑,酒店,普渡寺前巷与普渡寺东巷交叉口西60米,654
天安门,长安街北侧,翠明庄宾馆,酒店,南河沿大街1号,973
天安门,长安街北侧,友方宾馆(北京天安门王府井店),酒店,南河沿大街5号(金鱼胡同地铁站C西南口步行390米),949
天安门,长安街北侧,木棉花酒店,酒店,东华门大街16号华京大厦1层,945
天安门,长安街北侧,天安瑞嘉酒店,酒店,南河沿大街华龙街天安大厦,830
天安门,长安街北侧,北京太平轩,酒店,南池子大街与普渡寺西巷交叉口南60米,720
天安门,长安街北侧,普度寺八间房,酒店,普度寺西巷5号,808
天安门,长安街北侧,最高人民法院招待所,酒店,东交民巷胡同27号旁门,866
天安门,长安街北侧,北京香江戴斯酒店3号楼,酒店,南湾子胡同与南河沿大街交叉口西北60米,750
天安门,长安街北侧,北京香江意舍天安门王府井店大堂,酒店,南河沿大街南湾子胡同1号北京香江意舍(天安门王府井店),764
天安门,长安街北侧,普渡寺西巷6号,酒店,普渡寺西巷6号,826
天安门,长安街北侧,小院儿民宿,酒店,南河沿大街磁器库胡同磁器库南巷9号院,789
天安门,长安街北侧,来今雨轩茶社,饭店,社稷坛中山公园东侧路南段,138
天安门,长安街北侧,故宫快餐,饭店,南长街护照签售处旁,177
天安门,长安街北侧,东雁翅楼,饭店,南池子大街与普渡寺西巷交叉口西440米,486
天安门,长安街北侧,德景盛,饭店,南池子大街87号(天安门东地铁站B东北口步行380米),504
天安门,长安街北侧,京味家常菜(南池子大街店),饭店,南池子大街85号(天安门东地铁站B东北口步行390米),504
天安门,长安街北侧,老北京煎饼果子(南池子大街店),饭店,南池子大街85号(天安门东地铁站B东北口步行390米),506
天安门,长安街北侧,后河快餐店,饭店,南长街与织女桥东河沿交叉口东北280米,524
天安门,长安街北侧,96号私房菜,饭店,南池子大街与北湾子胡同交叉口东北20米,528
天安门,长安街北侧,老北京炸酱面(芳华便利店店),饭店,南池子大街120号,536
天安门,长安街北侧,人民大会堂宴会厅,饭店,西长安街天安门广场西侧(天安门西地铁站C西南口步行260米),566
天安门,长安街北侧,隆德堂青瓷艺术茶馆(故宫店),饭店,南池子大街63号,575
天安门,长安街北侧,北京三禾稻香村(南池子店),饭店,南池子大街63号,581
天安门,长安街北侧,庆丰包子铺,饭店,南池子大街东华门街道63号,587
天安门,长安街北侧,程府宴(南长街店),饭店,南长街38号院,612
天安门,长安街北侧,稻香村,饭店,南长街与织女桥东河沿交叉口北220米,623
天安门,长安街北侧,老北京炸酱面(南长街店),饭店,南长街甲30号,628
天安门,长安街北侧,潮府林苑·潮州菜(故宫店),饭店,北库司胡同1号(天安门东地铁站B东北口步行340米),632
天安门,长安街北侧,秋实茶座,饭店,南池子大街49号(对面),649
天安门,长安街北侧,小酒馆,饭店,北湾子胡同与南湾子胡同交叉口西北40米,668
天安门,长安街北侧,老北京炸酱面店,饭店,南池子大街33号,713
故宫博物院,景山前街4号,北京东华庭院四合院,酒店,北池子大街50号,519
故宫博物院,景山前街4号,北京京韵四合院(北池子大街分店),酒店,北池子大街50号,514
故宫博物院,景山前街4号,北京京古四合院,酒店,北池子大街三条6号,520
故宫博物院,景山前街4号,北京福禄久四合院,酒店,福禄巷9号,665
故宫博物院,景山前街4号,汉庭酒店(北京天安门店),酒店,南池子大街102号(近天安门广场、故宫),885
故宫博物院,景山前街4号,翠明庄宾馆,酒店,南河沿大街1号,855
故宫博物院,景山前街4号,木棉花酒店,酒店,东华门大街16号华京大厦1层,801
故宫博物院,景山前街4号,NanchiziStreet,酒店,南池子大街与东华门大街交叉口南20米,592
故宫博物院,景山前街4号,北京云景明谊酒店(王府井店),酒店,东华门街道北河沿大街161号,830
故宫博物院,景山前街4号,北京东华门宾馆,酒店,王府井北河沿大街143号,807
故宫博物院,景山前街4号,普度寺八间房,酒店,普度寺西巷5号,691
故宫博物院,景山前街4号,友方宾馆(北京天安门王府井店),酒店,南河沿大街5号(金鱼胡同地铁站C西南口步行390米),891
故宫博物院,景山前街4号,北京景山酒店,酒店,沙滩北街31号,923
故宫博物院,景山前街4号,普渡寺西巷6号,酒店,普渡寺西巷6号,669
故宫博物院,景山前街4号,华育宾馆,酒店,沙滩后街55号,953
故宫博物院,景山前街4号,北京天安门王府井漫心酒店,酒店,东安门大街53号(金鱼胡同地铁站C西南口步行150米),983
故宫博物院,景山前街4号,北京太平轩,酒店,南池子大街与普渡寺西巷交叉口南60米,650
故宫博物院,景山前街4号,北京蜀都宾馆(故宫店),酒店,沙滩后街30号,869
故宫博物院,景山前街4号,wohkoon者行孙青年旅馆(北京故宫店),酒店,沙滩后街16号(景山东门对面胡同内200米),937
故宫博物院,景山前街4号,沙滩宾馆,酒店,沙滩后街28号,887
故宫博物院,景山前街4号,故宫餐厅,饭店,故宫博物院内(保和殿东侧景运门外、钟表馆对面),142
故宫博物院,景山前街4号,冰窖咖啡,饭店,景山前街4号故宫博物院,151
故宫博物院,景山前街4号,故宫冰窖餐厅,饭店,故宫博物院内,153
故宫博物院,景山前街4号,萬春金福下午茶,饭店,景山前街4号故宫博物院内(北侧),361
故宫博物院,景山前街4号,坤东小院,饭店,坤宁宫,363
故宫博物院,景山前街4号,楚粤楼,饭店,北池子大街与北池子二条交叉口西北100米,475
故宫博物院,景山前街4号,东雁翅楼,饭店,南池子大街与普渡寺西巷交叉口西440米,482
故宫博物院,景山前街4号,故宫角楼咖啡,饭店,神武门外西侧,515
故宫博物院,景山前街4号,大益茶(故宫店),饭店,北池子大街72号(近故宫东门),518
故宫博物院,景山前街4号,The Georg,饭店,东华门大街95号,535
故宫博物院,景山前街4号,京门南门涮肉(北京故宫店),饭店,东华门大街91号,557
故宫博物院,景山前街4号,北平制冰厂,饭店,东华门大街82号,584
故宫博物院,景山前街4号,东门奶茶店,饭店,南池子大街与东华门大街交叉口西南20米,585
故宫博物院,景山前街4号,永盛斋小吃店,饭店,骑河楼大街40号,598
故宫博物院,景山前街4号,老北京炸酱面(东华门大街店),饭店,东华门大街60号,602
故宫博物院,景山前街4号,吉祥春饼·烤鸭,饭店,东华门大街与南池子大街交叉口东南20米,607
故宫博物院,景山前街4号,十一号烤鸭店,饭店,南池子大街11号1幢1层1号,610
故宫博物院,景山前街4号,四季民福烤鸭店(故宫店),饭店,南池子大街11号,613
故宫博物院,景山前街4号,拇指生煎包,饭店,东华门大街与南池子大街交叉口东南20米,613
故宫博物院,景山前街4号,县菜爷金丝牛肉饼(南池子大街店),饭店,南池子大街与普渡寺西巷交叉口西南20米,617
天坛公园,天坛东里甲1号,北京天坛亚朵轻居酒店,酒店,天坛路85号(桥湾地铁站C东南口步行490米),743
天坛公园,天坛东里甲1号,汉庭酒店(北京崇文门天坛北门店),酒店,天坛街道89号,857
天坛公园,天坛东里甲1号,东方之道宾馆(北京天坛东门地铁站店),酒店,天坛东路13号(天坛东门地铁站C东南口步行170米),812
天坛公园,天坛东里甲1号,维也纳3好酒店(北京天坛珠市口地铁站旗舰店),酒店,天坛路91号,885
天坛公园,天坛东里甲1号,中国医学科学院医药生物技术研究所招待所,酒店,天坛街道天坛西里1号,649
天坛公园,天坛东里甲1号,吾庭夭夭,酒店,天坛内东里甲2号4幢3号,750
天坛公园,天坛东里甲1号,行舍酒店(前门天坛店),酒店,天坛路1号楼西侧(粉厂胡同),968
天坛公园,天坛东里甲1号,7天酒店(北京天坛东门地铁站店),酒店,体育馆路10号(地铁天坛东门站B口出),937
天坛公园,天坛东里甲1号,北京金元元宾馆,酒店,金鱼池中街金鱼池西区2号楼(近西晓市街),998
天坛公园,天坛东里甲1号,维也纳3好酒店北京天坛珠市口地铁站旗舰店大堂,酒店,天坛路91号维也纳3好酒店(北京天坛珠市口地铁站旗舰店),880
天坛公园,天坛东里甲1号,7天酒店北京天坛东门地铁站店大堂,酒店,体育馆路与天坛东路交叉口东南100米,940
天坛公园,天坛东里甲1号,南门旅馆(景泰路),酒店,永定门东街东里12,950
天坛公园,天坛东里甲1号,预医宾馆,酒店,天坛西里10号院,966
天坛公园,天坛东里甲1号,北京天坛体育宾馆,酒店,体育馆路10号(天坛东门地铁站B东北口步行80米),979
天坛公园,天坛东里甲1号,祈谷·天坛味道,饭店,天坛公园回音壁西侧,418
天坛公园,天坛东里甲1号,天坛拾光,饭店,天坛公园西门内300米(天桥地铁站C东南口步行470米),498
天坛公园,天坛东里甲1号,天坛福宴,饭店,天坛公园西门,498
天坛公园,天坛东里甲1号,天坛福饮咖啡店,饭店,天坛公园东门(天坛东门地铁站A2西北口步行340米),581
天坛公园,天坛东里甲1号,锦馨豆汁(天坛路店),饭店,天坛路87号,729
天坛公园,天坛东里甲1号,八珍王(北京东城区北平汇市集店),饭店,"天坛街道,天坛路金鱼池中区26幢商业,下沉广场北平汇市集卖场内F1-065,F1-066",729
天坛公园,天坛东里甲1号,便宜坊御膳饭庄(天坛店),饭店,天坛路87号,731
天坛公园,天坛东里甲1号,處一都小酒馆,饭店,天坛路与金鱼池巷交叉口西北40米,731
天坛公园,天坛东里甲1号,香宇熟食,饭店,天坛路与金鱼池巷交叉口西100米,740
天坛公园,天坛东里甲1号,康师傅饮品,饭店,祈年大街与天坛路交叉口西北20米,742
天坛公园,天坛东里甲1号,洪记白水羊头(天坛北门店),饭店,天坛路71-7号,761
天坛公园,天坛东里甲1号,老磁器口豆汁店(天坛店),饭店,天坛路(天坛北门对面),768
天坛公园,天坛东里甲1号,德天鸭坊·烤鸭(天坛店),饭店,祈年大街与天坛路交叉口东北40米,769
天坛公园,天坛东里甲1号,老磁器口食府,饭店,祈年大街与天坛路交叉口东北40米,773
天坛公园,天坛东里甲1号,婧格格门钉肉饼(天坛店),饭店,天坛北里五号楼商业楼平房,776
天坛公园,天坛东里甲1号,永顺炸鸡(祈年大街店),饭店,天坛北里5号楼前商业楼,780
天坛公园,天坛东里甲1号,坛北食府(数智大厦店),饭店,数智大厦B1层(桥湾地铁站C东南口步行480米),782
天坛公园,天坛东里甲1号,老磁器口电烤串,饭店,天坛北里5号楼前商业楼,785
天坛公园,天坛东里甲1号,新炉记北京烤鸭,饭店,天坛路87号金鱼池中区,787
天坛公园,天坛东里甲1号,宫门口馒头(天坛北门店),饭店,天坛路天坛北里,789
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),汉庭酒店(北京天安门店),酒店,南池子大街102号(近天安门广场、故宫),602
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京香江意舍(天安门王府井店),酒店,南河沿大街南湾子胡同1号,732
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),人民大会堂宾馆,酒店,西交民巷甲19号,777
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京贵宾楼饭店,酒店,东长安街35号,832
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京天安门逸扉酒店,酒店,南河沿大街华龙街天安大厦A座,836
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),紫金宫饭店,酒店,南河沿大街86号(王府井地铁站E3东北口步行450米),835
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京瑞安宾馆,酒店,正义路7号,914
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京南池子老墙客栈管理有限责任公司,酒店,南池子大街96号,661
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),皇城小筑,酒店,普渡寺前巷与普渡寺东巷交叉口西60米,676
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),友方宾馆(北京天安门王府井店),酒店,南河沿大街5号(金鱼胡同地铁站C西南口步行390米),977
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京饭店诺金,酒店,东长安街33号B座(王府井地铁站C1西北口步行160米),998
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),最高人民法院招待所,酒店,东交民巷胡同27号旁门,826
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),天安瑞嘉酒店,酒店,南河沿大街华龙街天安大厦,835
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),木棉花酒店,酒店,东华门大街16号华京大厦1层,977
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京香江戴斯酒店3号楼,酒店,南湾子胡同与南河沿大街交叉口西北60米,755
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京太平轩,酒店,南池子大街与普渡寺西巷交叉口南60米,756
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),普度寺八间房,酒店,普度寺西巷5号,843
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京香江意舍天安门王府井店大堂,酒店,南河沿大街南湾子胡同1号北京香江意舍(天安门王府井店),767
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),人民大会堂宾馆·宴会厅,酒店,西交民巷与广场西侧路交叉口西180米,797
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),小院儿民宿,酒店,南河沿大街磁器库胡同磁器库南巷9号院,811
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),来今雨轩茶社,饭店,社稷坛中山公园东侧路南段,178
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),故宫快餐,饭店,南长街护照签售处旁,224
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),德景盛,饭店,南池子大街87号(天安门东地铁站B东北口步行380米),518
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),京味家常菜(南池子大街店),饭店,南池子大街85号(天安门东地铁站B东北口步行390米),519
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),老北京煎饼果子(南池子大街店),饭店,南池子大街85号(天安门东地铁站B东北口步行390米),521
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),人民大会堂宴会厅,饭店,西长安街天安门广场西侧(天安门西地铁站C西南口步行260米),529
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),东雁翅楼,饭店,南池子大街与普渡寺西巷交叉口西440米,534
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),96号私房菜,饭店,南池子大街与北湾子胡同交叉口东北20米,543
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),老北京炸酱面(芳华便利店店),饭店,南池子大街120号,554
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),后河快餐店,饭店,南长街与织女桥东河沿交叉口东北280米,563
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),隆德堂青瓷艺术茶馆(故宫店),饭店,南池子大街63号,602
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),北京三禾稻香村(南池子店),饭店,南池子大街63号,609
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),庆丰包子铺,饭店,南池子大街东华门街道63号,615
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),潮府林苑·潮州菜(故宫店),饭店,北库司胡同1号(天安门东地铁站B东北口步行340米),632
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),程府宴(南长街店),饭店,南长街38号院,644
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),稻香村,饭店,南长街与织女桥东河沿交叉口北220米,657
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),老北京炸酱面(南长街店),饭店,南长街甲30号,662
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),小酒馆,饭店,北湾子胡同与南湾子胡同交叉口西北40米,675
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),秋实茶座,饭店,南池子大街49号(对面),680
天安门-城楼,东长安街天安门(天安门东地铁站A西北入口步行290米),老北京炸酱面店,饭店,南池子大街33号,748
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),人民大会堂宾馆,酒店,西交民巷甲19号,348
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),观旗宾馆(北京天安门广场店),酒店,前门西大街正阳市场1号楼(距离前门地铁站100米),391
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),宜尚酒店(北京天安门广场前门地铁站店),酒店,前门大街甲2号(前门地铁站E2北口旁),385
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),升旗宾馆(北京天安门广场前门地铁站店),酒店,前门大街甲2号(地铁2号线B口出即到),396
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),国帅宾馆,酒店,前门西大街正阳市场2号楼(前门地铁站C西南口步行460米),440
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),前门观旗宾馆(北京前门地铁站店),酒店,前门东大街18号(前门地铁站E2北口步行250米),469
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),M·酒店(北京天安门广场前门地铁站店),酒店,前门大街2号B1-1层108A、2-3层,473
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),朗丽兹酒店(北京天安门广场前门地铁站店),酒店,西河沿街39号(前门地铁站C西南口步行300米),467
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),无印良品酒店北京,酒店,煤市街廊房头条21号院北京坊W2号楼B1层,488
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),速8精选酒店(北京天安门前门西河沿店),酒店,前门西河沿街67号(前门地铁站C西南口步行400米),517
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),鑫龙宾馆(北京前门天安门广场店),酒店,前门大街甲2号3层(前门地铁站E2北口旁),374
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),如家商旅酒店(北京前门地铁站北京坊店),酒店,前门西河沿街114号(前门地铁站C西南口步行380米),548
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),北京前门十二间四合院,酒店,煤市街西河沿大街100号(前门地铁站C西南口步行340米),497
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),北京楠树草堂酒店(天安门广场前门地铁站店),酒店,西打磨厂街224号(前门地铁站G东南口步行170米),552
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),橙芷·秋果酒店(北京天安门广场店),酒店,长巷二条1号1层101号2层3层,541
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),皓阳宾馆(北京前门天安门广场店),酒店,前门西大街正阳市场4号楼,544
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),人民大会堂宾馆·宴会厅,酒店,西交民巷与广场西侧路交叉口西180米,325
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),皓阳晚安酒店,酒店,前门西大街正阳市场4号楼北京市皓阳宾馆一层3号,560
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),前门佳合宾馆,酒店,前门东大街16号地铁2号线-前门站,527
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),北京京韵十七筑四合院酒店,酒店,排子胡同38号(前门地铁站C西南口步行390米),568
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),庆丰包子铺(广场东侧路店),饭店,东交民巷44号(前门地铁站A东北口步行360米),231
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),温鼎府·海鲜火锅(前门23号院店),饭店,前门东大街前门23号院内(正阳门东10米),315
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),耀·Glory House,饭店,前门东大街23号院F楼,325
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),ΡATΕKΡHILIPPΕ(源邸店),饭店,古城西路113号5层546,335
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),J-tea魔杰的茶(北京前门店),饭店,前门东大街23号院F座1层(地铁2号线前门站400米),343
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),知竹馆,饭店,前门东大街23号H栋(前门地铁站A东北口步行420米),377
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),金满山老北京铜锅涮肉(金达商场店),饭店,前门大街甲2号1幢1层(前门地铁站E2北口旁),380
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),蜜雪冰城(天安门店),饭店,前门西大街正阳市场1号楼1层106,382
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),面爱面(前门店),饭店,前门西大街正阳市场1号楼1层106,386
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),肯德基(前门东大街店),饭店,前门东大街甲2号一层至地下一层(前门地铁站E2北口旁),388
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),川湘菜馆(后河沿胡同店),饭店,前门西河沿街31后门(前门地铁站C西南口步行350米),422
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),致美楼(前门店),饭店,前门西大街正阳市场2号楼(前门地铁站C西南口步行450米),424
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),麦当劳(国帅宾馆店),饭店,前门西大街正阳市场2号楼一层西侧部分商铺,433
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),宝华德老北京刷肉,饭店,前门西河沿街39号(前门地铁站C西南口步行370米),435
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),人民大会堂宴会厅,饭店,西长安街天安门广场西侧(天安门西地铁站C西南口步行260米),445
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),麦梗手擀面水饺(麦梗前门店),饭店,前门西大街正阳市场二号楼,447
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),前门大街夜市,饭店,前门大街2号(前门地铁站I西南口步行80米),448
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),金宅门烤鸭店(前门东大街店),饭店,前门东大街18号(前门地铁站E2北口步行230米),457
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),灯影包子,饭店,杜莎夫人蜡像馆前门大街店西门北160米,457
毛主席纪念堂,前门东大街11号(天安门广场人民英雄纪念碑南面),西大街餐厅,饭店,前门西河沿街与煤市街交叉口西北120米,465
中山公园,中华路4号(天安门西侧),汉庭酒店(北京天安门店),酒店,南池子大街102号(近天安门广场、故宫),781
中山公园,中华路4号(天安门西侧),人民大会堂宾馆,酒店,西交民巷甲19号,927
中山公园,中华路4号(天安门西侧),北京香江意舍(天安门王府井店),酒店,南河沿大街南湾子胡同1号,981
中山公园,中华路4号(天安门西侧),北京南池子老墙客栈管理有限责任公司,酒店,南池子大街96号,797
中山公园,中华路4号(天安门西侧),北京太平轩,酒店,南池子大街与普渡寺西巷交叉口南60米,819
